INTL_20171219_000063	右クリックで使用すると、サーバー内の全キャラクターに使用時点から30日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - 個人取引30回可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여 시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2	INTL_20170919_000050	右クリックで使用すると、サーバー内の全キャラクターに使用時点から30日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - 最大バフ適用数増加{nl} - 個人取引30回可能{nl} - サルラス修道女院ミッション完了報酬 +1	오른쪽 클릭으로 사용하면 서버의 모든 캐릭터에게 사용 시점부터 30 일간 혜택이 적용됩니다. 캐릭터 정보 창에서 남은 시간을 확인할 수 있습니다. {nl} 토큰 효과] {nl} - 특성 즉시 수련 가능 {nl} - 시장 판매 수수료 할인 (30 % {img white_right_arrow 16 16} 10 %) {nl} - 시장 판매 등록 상품 수 10 개 {nl} - 마켓에서 / 하한가 관계없이 아이템 등록 가능 {nl} - 마켓 수익금 즉시 수취 {nl} - 캐릭터 이동 속도 +3 업 {nl} - 몬스터 사냥시 경험치 + 30 % 증가 {nl} (각종 경험치 보너스 효과와 중복 가능) {nl} - 팀 창고 이용 가능 {nl} - 프리미엄 제스처 사용 가능 {nl} - 최대 버프 적용 수 증가 {nl} - 개인 거래 30 회 가능 {nl} - 살러스 수녀원 미션 완료 보상 +1	
INTL_20171219_000064	右クリックで使用すると、サーバー内の全キャラクターに使用時点から7日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 7일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2				
INTL_20171219_000065	右クリックで使用すると、サーバー内の全キャラクターに使用時点から5日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 5일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2				
INTL_20171219_000066	右クリックで使用すると、サーバー内の全キャラクターに使用時点から1日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+20%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 1일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2				
INTL_20171219_000067	右クリックで使用すると、サーバー内の全キャラクターに使用時点から3時間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 3시간동안 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2				
INTL_20171219_000068	右クリックで使用すると、サーバー内の全キャラクターに使用時点から6時間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 6시간동안 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2				
INTL_20171219_000069	右クリックで使用すると、サーバー内の全キャラクターに使用時点から12時間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 12시간동안 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2				
INTL_20171219_000070	右クリックで使用すると、サーバー内の全キャラクターに使用時点から3日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 3일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2				
INTL_20171219_000071	右クリックで使用すると、サーバー内の全キャラクターに使用時点から30日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - 個人取引30回可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2				
INTL_20171219_000072	右クリックで使用すると、サーバー内の全キャラクターに使用時点から15日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 15일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2				
INTL_20171219_000073	右クリックで使用すると、サーバー内の全キャラクターに使用時点から3時間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。獲得から１４日間使用可能です。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 3시간동안 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다. 획득 후부터 14일동안 사용 가능합니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2				
INTL_20171219_000074	右クリックで使用すると、サーバー内の全キャラクターに使用時点から5日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。獲得から１４日間使用可能です。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 5일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다. 획득 후부터 14일동안 사용 가능합니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2				
INTL_20171219_000075	右クリックで使用すると、サーバー内の全キャラクターに使用時点から3日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。獲得から１４日間使用可能です。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 3일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다. 획득 후부터 14일동안 사용 가능합니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2				
INTL_20171219_000076	右クリックで使用すると、サーバー内の全キャラクターに使用時点から1時間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 1시간 동안 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2				
INTL_20171219_000077	右クリックで使用すると、サーバー内の全キャラクターに使用時点から15日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - 個人取引15回可能{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 15일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 개인 거래 15회 가능{nl} - 레이드 던전 입장 아이템 소모 개수 -2				
INTL_20171226_000078	念願の碑石路ダンジョン(推奨レベル:180)に入場しますか？{nl}あなたとPTを組んでいるプレイヤーだけが一緒に入場できます。	염원의 비석로 (권장 레벨:180)에 입장하시겠습니까?{nl}당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.				
INTL_20171226_000079	衰退したルグィン家のダンジョン(推奨レベル:230)に入場しますか？{nl}あなたとPTを組んでいるプレイヤーだけが一緒に入場できます。	쇠락한 르귄가문의 저택 (권장 레벨:230)에 입장하시겠습니까?{nl}당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.				
INTL_20171226_000080	キャッスル地下ダンジョン(推奨レベル:300)に入場しますか？{nl}あなたとPTを組んでいるプレイヤーだけが一緒に入場できます。	캐슬 지하 (권장 레벨:300)에 입장하시겠습니까?{nl}당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.				
INTL_20171228_000081	右クリックで使用します。{nl} - コンパニオン交換券×7枚{nl} - x4経験の書×3個{nl} - 特性ポイント1,000(冒険日誌報酬)×1個{nl} - インスタンスダンジョン倍数トークン×3個{nl} - 300,000シルバー	마우스 우클릭으로 사용할 수 있습니다. 사용시 상자의 내용물을 획득할 수 있습니다.{nl} - 컴패니언 교환권 7장{nl} - x4 경험의 서 3개 {nl} - 특성 포인트 1,000(모험일지 보상) 1개 {nl} - 인스턴스 던전 배수 토큰 3개 {nl} - 실버 300,000 				
INTL_20180122_000082	スノウクリスタルキューブ（男）	2018 눈의 결정 큐브(남)				
INTL_20180122_000083	スノウクリスタルキューブ（女）	2018 눈의 결정 큐브(여)				
INTL_20180122_000084	スノウクリスタルキューブ（男）x10+1	2018 눈의 결정 큐브(남) x 10+1				
INTL_20180122_000085	スノウクリスタルキューブ（女）x10+1	2018 눈의 결정 큐브(여) x 10+1				
INTL_20180131_000086	手作りチョコレート。甘すぎず美味しい。何だか頭が回るようだ…。使用後1時間、経験値獲得量50％アップ。	달달한 맛으로, 뇌의 회전을 도와주는 초콜릿입니다. 사용 시, 1시간동안 경험치 획득량 +50% 효과를 얻습니다.				
INTL_20180205_000087	特性ポイント100	특성 포인트 100				
INTL_20180207_000088	乙女の純情	소녀의 마음				
INTL_20180207_000089	経験値獲得量50％アップ	몬스터 처치 시 획득 경험치 +50%				
INTL_20180213_000090	冬の鍵	겨울 열쇠				
INTL_20180213_000091	「冬の終わり」イベントで使用される鍵です。	마지막 겨울 이벤트에서 사용되는 열쇠입니다.{nl}(이벤트 종료 시 일괄 삭제됩니다.)				
INTL_20180213_000092	つらら（14日）	고드름(14일)				
INTL_20180213_000093	つららの中で何かが凍っているようです。{nl}（つららは焚き火の薪周辺でのみ使用することができます。）	고드름을 녹이면 무엇이 들어있을까요?{nl}(고드름은 장작 주위에서만 사용 가능합니다.)				
INTL_20180213_000094	謎の箱	금고				
INTL_20180213_000095	“冬の鍵”を10個集めてくれば、限定コンパニオンを差し上げますよ…。{nl}“冬の鍵”は今後開始するイベントで手に入ります…。	Winter Key 10개를 모으시면 "윈터펭" 을 드립니다.{nl}(Winter Key는 2월 20일 이벤트에서 획득할 수 있습니다.)				금고
INTL_20180213_000096	「冬の終わり」イベントが進行中です。{nl}バフやギフトをお贈りしています。限定の新規コンパニオンも手に入るチャンスです。	마지막 겨울 이벤트가 진행 중입니다.{nl}마지막 겨울 선물과 버프는 물론, 신규 컴패니언 윈터펭도 만나보세요.				이벤트 알림판
